FILE PATH	TRANSLATION KEY	ENGLISH	GERMAN	FRENCH
C:\Users\al.amin\Desktop\JSON to CSV\app\app1\i18n	LOGIN.CAPCHA	Capcha PLEASE	Captcha PLEASE	Capcha FR
C:\Users\al.amin\Desktop\JSON to CSV\app\app1\i18n	LOGIN.ENTER_CAPCHA	Enter capcha in the box man	Bitte geben Sie die Buchstaben/Zahlen auf dem Bild ein BOXEN HARDEN	Enter capcha FR HOLA
C:\Users\al.amin\Desktop\JSON to CSV\app\app1\i18n	LOGIN.INVTKN	The token has expired a while ago	Das Merkmal ist abgelaufen	The token has expired FR
C:\Users\al.amin\Desktop\JSON to CSV\app\app1\i18n	LOGIN.SMSMIS	The code you entered does not match	Der eingegebene Code ist nicht korrekt	The code you entered does not match FR
C:\Users\al.amin\Desktop\JSON to CSV\app\app1\i18n	LOGIN.SMSSENDERROR	Error in sending two factor authentication code.	Beim Senden des SMS-Aktievierungscodes für die Authentifizierung ist ein Fehler aufgetreten.	Error in sending two factor authentication code. FR
C:\Users\al.amin\Desktop\JSON to CSV\app\app1\i18n	LOGIN.RESEND	Resend	SMS-Aktivierungscode erneut senden	Resend Activation Code FR
C:\Users\al.amin\Desktop\JSON to CSV\app\app1\i18n	LOGIN.ACTIVATIONCODE	Activation Code	SMS-Aktivierungscode	Activation Code FR
C:\Users\al.amin\Desktop\JSON to CSV\app\app1\i18n	LOGIN.SMSSENTMESSAGE	A message has been sent to your number ending with	Eine SMS wurde an die Nummer endend auf 00 versandt	A message has been sent to your number ending with FR
C:\Users\al.amin\Desktop\JSON to CSV\app\app1\i18n	LOGIN.ENTERACTIVATIONCODE	Enter the activation code you received in the SMS	Bitte geben Sie den via SMS empfangenen Aktivierungscode ein.	Enter the activation code you received as SMS FR
C:\Users\al.amin\Desktop\JSON to CSV\app\app1\i18n	LOGIN.VERIFY	Verify	Verifizieren	Verify FR
C:\Users\al.amin\Desktop\JSON to CSV\app\app1\i18n	LOGIN.AND	and	und	and FR
C:\Users\al.amin\Desktop\JSON to CSV\app\app2\i18n	LOGIN.ACCESS_CODE	Access Code	Zugangscode	FR: Access Code
C:\Users\al.amin\Desktop\JSON to CSV\app\app2\i18n	LOGIN.ENTER_ACCESS_CODE	Enter Access Code	Bitte geben Sie den SMS-Aktivierungscode ein.	FR: Enter Access Code
C:\Users\al.amin\Desktop\JSON to CSV\app\app2\i18n	LOGIN.TITLE	Login	Anmeldung	FR: Login
C:\Users\al.amin\Desktop\JSON to CSV\app\app2\i18n	LOGIN.TITLE_ADMIN	Administrator Login	Administrator Anmeldung	FR: Administrator Login
C:\Users\al.amin\Desktop\JSON to CSV\app\app2\i18n	LOGIN.USERNAME	Username	Benutzername	FR: Username
C:\Users\al.amin\Desktop\JSON to CSV\app\app2\i18n	LOGIN.PASSWORD	Password	Passwort	FR: Password
C:\Users\al.amin\Desktop\JSON to CSV\app\app2\i18n	LOGIN.LOGIN	Log in	Login	FR: Log in
C:\Users\al.amin\Desktop\JSON to CSV\app\app2\i18n	LOGIN.FORGOT_PASSWORD	Forgot your Password?	Passwort vergessen?	FR: Forgot Password?
C:\Users\al.amin\Desktop\JSON to CSV\app\app2\i18n	LOGIN.REMEMBER_ME	Remember Me	Zugangsdaten speichern	FR: Remember Me
C:\Users\al.amin\Desktop\JSON to CSV\app\app2\i18n	LOGIN.ENTER_USERNAME	Please enter your username.	Bitte geben Sie Ihren Benutzernamen ein.	FR: Please enter your username.
C:\Users\al.amin\Desktop\JSON to CSV\app\app2\i18n	LOGIN.ENTER_PASSWORD	Please enter your password.	Bitte geben Sie Ihr Passwort ein.	FR: Please enter your password.
C:\Users\al.amin\Desktop\JSON to CSV\app\app2\i18n	LOGIN.ENTER_CONFIRM_PASSWORD	Please confirm your password	Bitte bestätigen Sie Ihr Passwort.	FR: Please confirm your password
C:\Users\al.amin\Desktop\JSON to CSV\app\app2\i18n	LOGIN.TITLE_FORGOT	Forgot Password	Passwort vergessen	FR: Forgot Password
C:\Users\al.amin\Desktop\JSON to CSV\app\app2\i18n	LOGIN.EMAIL	Email	DE: E-Mail	FR: Email
C:\Users\al.amin\Desktop\JSON to CSV\app\app2\i18n	LOGIN.ENTER_EMAIL	Please enter your email address.	Bitte geben Sie Ihre E-Mail-Adresse ein.	FR: Please enter your email address.
C:\Users\al.amin\Desktop\JSON to CSV\app\app2\i18n	LOGIN.EMAIL_INFORM_MESSAGE	An email has been sent to your account. Please check it to reset your password.	Eine E-Mail mit weiteren Instruktionen für das Zurücksetzen des Passworts wurde gesendet.	FR: An email has been sent to your account. Please check it to reset your password.
C:\Users\al.amin\Desktop\JSON to CSV\app\app2\i18n	LOGIN.AGREE_MSG	By signing in, you are agreeing to the	Mit Ihrer Anmeldung stimmen Sie [...] zu	FR: By signing in, you are agreeing to the
C:\Users\al.amin\Desktop\JSON to CSV\app\app2\i18n	LOGIN.INVALID_EMAIL_MESSAGE	Please enter a valid email address.	Bitte geben Sie eine gültige E-Mail-Adresse ein	FR: Please enter a valid email address.
C:\Users\al.amin\Desktop\JSON to CSV\app\app2\i18n	LOGIN.RESET	Reset	Zurücksetzen	FR: Reset
